id,title_en,title_en_jp,status,startDate,endDate,ageRating,avgRating,rank,description
12,One Piece,One Piece,current,1999-10-20,,PG,83.95,14,"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World G..."
13623,One Piece: Episode of East Blue,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,finished,2017-08-26,2017-08-26,PG,82.61,237,"The special will be a completely new work, featuring reanimated scenes from the beginning of the series through when the crew enters the Grand Line.

The speci..."
6827,One Piece Film: Z,One Piece Film: Z,finished,2012-12-15,2012-12-15,PG,82.28,380,"The Straw Hat Pirates enter the rough seas of the New World in search of the hidden treasures of the Pirate King, Gol D. Roger－One Piece. On their voyage, the ..."
3492,One Piece Film: Strong World,One Piece Film: Strong World,finished,2009-12-12,2009-12-12,PG,82.16,479,"20 years after his escape from Impel Down, the legendary pirate Shiki ""the Golden Lion"" reappears causing massive upheaval to the Marines. During his long secl..."
7240,One Piece: Episode of Nami - Tears of a Navigator and the Bonds of Friends,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,finished,2012-08-25,2012-08-25,PG,82.19,612,"A retelling of the Arlong Park arc, with new animation."
7894,,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,finished,2013-08-24,2013-08-24,PG,82.21,660,"The story arcs aboard the Straw Hat Crew's first ship Going Merry (Merry Go in some adaptations) are recreated with brand-new animation, from Luffy and Usopp's..."
8718,One Piece 3D2Y: Overcome Ace’s Death! Luffy’s Vow to his Friends,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,finished,2014-08-30,2014-08-30,PG,82.09,829,"This new TV special tells the two years of Luffy's training with Silvers Rayleigh in Rusukaina Island after the Battle of Marineford, which has never been told..."
11351,,One Piece Film: Gold,finished,2016-07-23,2016-07-23,PG,81.79,839,"Monkey D. Luffy and his Straw Hat Crew have finally arrived on Gran Tesoro, a ship carrying the largest entertainment city in the world. Drawn in by the chance..."
421,,One Piece Movie 1,finished,2000-03-04,2000-03-04,PG,71.18,1572,"Woonan is the legendary Great Gold Pirate, earning the nickname after accumulating about 1/3 of the gold available in the world. Even after his disappearance, ..."
5469,,One Piece Film: Strong World Episode 0,finished,2010-04-01,2010-04-01,PG,80.42,1739,"Set over 20 years prior to the main One Piece story, this limited release OVA chronicles the confrontation between Gold Lion Shiki and Gold Roger as well as ot..."
